ID,Login,Password,Race,GClass,Guild,Level,Balance,IsAdmin
0,braveknight123,shielded4life,Human,Warrior,Knights of Valor,35,2500,False
1,elvenmage87,arcaneMaster2022,Elf,Mage,Mystic Alliance,28,1800,False
2,dwarvenhammer,forgePaladin,Dwarf,Paladin,Guardians of Light,42,3500,False
3,fearsomeorc,berserkerRage,Orc,Barbarian,Bloodrage Clan,30,2000,False
4,adminmaster,adminPass123,Human,Administrator,Admins United,50,10000,True
5,player1,pass123,Elf,Ranger,Forest Guardians,20,1500,False
6,sorcererwizard,magicPower99,Human,Wizard,Order of the Arcane,38,2800,False
7,steelsmith76,forgeMaster,Dwarf,Blacksmith,Hammerfall Clan,45,4000,False
8,shadowrogue,stealthyNinja,Human,Rogue,Shadow Syndicate,32,2200,False
9,fierydragon,dragonlord123,Dragon,Dragonlord,Flame Reavers,55,8000,False
10,naturedruid,earthpower234,Elf,Druid,Nature's Embrace,27,1700,False
11,icequeenFrost,iceMagic456,Human,Sorcerer,Chillblades Coven,40,3200,False
12,mightyminotaur,axeCrusher,Minotaur,Warrior,Minotaur's Might,36,2600,False
13,undeadwarlock,darksummoner789,Undead,Warlock,Shadow Legion,48,6000,False
14,thechosenone,destinyCalls12,Human,Hero,Heroes of Destiny,60,12000,False
15,moshnetravnyh,pswdnotforuse,Undead,Necromancer,Grip from the rip,0,0,False
