Login,Password,Race,GClass,Guild,Level,Balance,IsAdmin
braveknight123,shielded4life,Human,Warrior,Knights of Valor,35,2500,False
elvenmage87,arcaneMaster2022,Elf,Mage,Mystic Alliance,28,1800,False
dwarvenhammer,forgePaladin,Dwarf,Paladin,Guardians of Light,42,3500,False
fearsomeorc,berserkerRage,Orc,Barbarian,Bloodrage Clan,30,2000,False
adminmaster,adminPass123,Human,Administrator,Admins United,50,10000,True
Korvin,Abrakadabra,Goblin,Warior,Dark leaves,0,0,False
player1,pass123,Elf,Ranger,Forest Guardians,20,1500,False
sorcererwizard,magicPower99,Human,Wizard,Order of the Arcane,38,2800,False
steelsmith76,forgeMaster,Dwarf,Blacksmith,Hammerfall Clan,45,4000,False
shadowrogue,stealthyNinja,Human,Rogue,Shadow Syndicate,32,2200,False
fierydragon,dragonlord123,Dragon,Dragonlord,Flame Reavers,55,8000,False
naturedruid,earthpower234,Elf,Druid,Nature's Embrace,27,1700,False
icequeenFrost,iceMagic456,Human,Sorcerer,Chillblades Coven,40,3200,False
mightyminotaur,axeCrusher,Minoaur,Warrior,Minotaur's Might,36,2600,False
undeadwarlock,darksummoner789,Undead,Warlock,Shadow Legion,48,6000,False
thechosenone,destinyCalls12,Human,Hero,Heroes of Destiny,60,12000,False
